"ORIGIN_STYLE","REPLACE_STYLE"
SWANK7,DNJNK84
HA157,CR14
AMU108,SHL7
BM347,MN18
RA11,LFPE2
MNL172,MNL42
SPL12,CAR4
MN3,MN43
ML124,LV3
ZS32,NK107
YB1,LKL33
JS74,BC111
BM143,TBD5
SW78,BM369
KS47,KS49
BM328,PPR6
NCMPE1,KJLPE8
JS119,MGN7
SA79,MNL78
KS83,CS55
YK34,CN78
MH11,EQ49
BM438,MNL197
CAS38,EJ102
RA10,TT59
BDMPE16,CRLBRC2
RA3,BM254
CA29,RZ37
MSGM65,NLS24
LKL34,JS75
BM207,CVN25
PRLPE37,PRLPE39
TT90,KS53
EJ144,JG77
BM154,BM406
BL37,DL103
BM406,BM125
EVD1,JWG14
SA83,MLM3
TNT63,JG113
BM347,KJLPE77
ALF1,OC91
PR78,DL72
ZS1,NC83
JG30,CS45
LAP37,MNL112
JWG40,NM333
BM225,HA142
SW6,CT22
BM354,XX86
TDPE2,SRHNB46
NK50,JS79
CN102,DVF109
SU28,TB172
BC105,RT118
AID1,BM179
DVF191,KS165
DL9,NL51
MNL109,VLV10
EF129,MN130
EJ120,DVF74
CLVHNB3,LZHNB25
MN107,BM94
JS77,CR8
HA150,SW65
PK161,BM165
HA171,BJ5
NTC1,MNL113
CA27,BC113
TA18,TA22
EF87,CH7
TB124,MAR25
BM485,MN59
CT18,JS119
LDT10,FP74
TA53,TA72
VIV5,BM133
BC47,DTP6
LSS8,RAO12
FRNHNB17,ABBRC102
BC97,RAO36
BC97,MH1
KS150,KS87
RBMKHNB43,RBMKHNB45
MN20,NK38
CN87,LAP12
SWAPE153,KSAPE158
ML108,CAS33
NM292,SH287
SA43,MN42
MLAHNB3,AHHNB5
TNT1,SH226
SW119,RT79
CO61,PK141
EF88,JG26
MNL121,MNL53
MNL10,DM26
HA248,HA173
CR96,BM226
SA85,JS22
SLR19,BH25
RZ1,MNL172
JS23,SLN3
BM143,SLN15
BM237,BM347
PRLPE14,KDSPE87
BM152,BM200
MO83,EJ14
HA324,DVF49
BM454,MNL125
NM295,CS56
CR105,ML109
TB222,TB220
FP40,JOA13
BM263,BM226
ELQ23,KU10
CN21,BM290
RZ1,EJ145
LP97,RZ84
MNL37,KU1
BM299,EF107
RT16,TA41
SW24,BM138
JS96,JS120
RVN24,RVN2
CD25,NM201
VD11,ALC64
HA311,CAS51
TT165,CO65
CBPE4,EJHPE8
EF47,BM340
JG39,CS48
NM162,NLS22
HA97,CR7
JE11,TB175
CN90,MNL127
GRL19,NK103
CMO15,MN140
BM470,GA21
BC68,BM168
ASI16,KPL36
JG53,EJ109
NM216,NMK3
NM174,MNL127
ASR1,PK203
SWAPE119,KSAPE240
YK32,NM262
BM358,AMU86
TA57,BM75
BM358,HA316
BM453,MNL48
RM39,TB147
BM294,MN36
PK96,BC103
SWANK91,KDSPE109
JG24,ODLRPE70
PK28,SW15
BM466,CCH2
SU12,DL22
TYB62,DVF104
BM294,AP12
CN6,BM401
KSBRC15,ODLRBRC6
MNL,AP33
MNL53,NM318
KS34,RT71
BM208,BC90
BDMNK1,KSANK18
NTC1,TE39
EJ109,CAS20
MN107,MN108
ZACHNB31,TB175
AID7,SW101
MNL192,HA266
MN51,RAO23
NR60,CAS87
SH198,JG119
KS144,HB45
NK35,RT95
NC51,NK25
JE18,KS105
WDHNB15,SRHNB24
MN2,MN62
LAP7,TT106
CT21,CR29
CR2,TR38
NVL2,EVD3
JG32,MNL98
MNL11,MNL184
BL58,FK21
BM126,CN95
HL132,HL170
BM444,MNL116
BM48,MN50
TK44,HB26
HA139,MNL103
DVF205,KS155
PRP1,FP54
BM179,BM143
AL10,AP24
SH97,HA169
SA46,NM124
BM126,BM415
TT46,SW157
AID9,MNL216
BM126,TA58
BM438,MNL66
ALC15,SLR17
SHIHNB12,SMDPE23
SWNK12,MAH5
RZ19,OS36
DL32,JE21
TB158,NL51
NLS107,DL165
GRL35,BDK71
TT79,STS53
SA94,LAP39
BM370,BM420
NCMPE4,TA57
BM420,CN20
NM189,TA72
HTC22,LMC8
ALD8,NLS23
LP41,LP56
NK26,MNL96
NLS16,HA173
TA117,CN10
KF18,JWG32
HA121,TA24
MO79,BM289
HB14,MH7
LSS28,HB58
BM311,TA72
ELT16,NM163
BC57,BM168
SW287,AL12
NK39,TA53
BM311,BM428
SW25,LR68
MSGM81,BM521
NL74,BM435
YK22,MN61
TT212,ABNK97
CR107,AP8
AIHNB7,RBMKHNB31
JS32,AP24
BM103,BM233
YA105,NLS1
RZ59,MN130
EJ45,ML194
HL72,HL164
MNL196,MN120
CLVHNB17,LKL56
CN49,RY20
BM329,JS77
HA256,MGN7
YK20,EF98
SA47,MNL53
CS43,SW10
MAC2,TA53
SH137,BC150
ALC17,NLS55
CD6,BM168
BM189,CN25
SH141,JS28
MN18,MNL22
CLVHNB33,EJHHNB120
SW311,AX13
TT214,DVF80
HA281,HL200
HA127,RAO36
SA85,TT119
NK15,RZ6
NTC1,HP86
EBMNK6,ODLRNK71
LR69,TK37
SH140,BM432
DLM13,RM29
HL211,HL208
BDK17,FP29
CR27,INGHNB13
BM304,BM297
YK15,SH116
JS30,DVF61
KS29,BM214
RAO4,NM154
BM180,HF3
EQ42,DL57
SB53,NLS39
BM289,NK38
DSQ4,MN63
ZACHNB21,RM76
BM98,BM139
ODLRPE13,KSPE24
NMK13,MN112
ELCPE28,ABPE126
SH142,SH236
JWAHNB7,JS1
MGN4,JG24
BM293,NK23
BM174,CN99
ABPE49,BAMPE54
PNK3,KS30
CO58,DLM20
EF129,EF130
ADP75,BM226
TAD9,KU40
KS7,DVF80
VD6,JG66
MN51,MN140
RED55,AMR23
RKHNB1,PTS11
EFA8,SB30
BM208,CN67
JS74,BM250
SH69,NM191
BM485,MN108
OS29,LAP10
JS96,BM273
BM110,NM130
LKB5,CT27
LKL76,LKL46
CR24,SH120
CR24,SH86
YK57,EUG13
SW118,EJ144
JG35,BC53
LP61,OND3
DVF172,LAC1
EJ47,AF28
EJ47,CN61
SH119,YB19
CO19,TA45
NRAHNB4,KSAHNB212
HA111,NK6
NM266,MN3
FK2,TYB21
AP30,SW189
MN41,MN49
HA140,CN14
CUP3,TYBAHNB6
LSS3,NM200
NK109,BM250
RED51,GRL32
NM200,TA57
KS122,KS87
JG61,CN95
EJ57,EJ42
JS131,TA72
EJ59,EJ110
TT223,CELSSG2
FNP11,KK7
JS24,HA163
JS77,NM197
ADP74,NK22
ADP74,BM354
MGN5,BM292
KS75,SW80
JS73,JS95
MNL14,MNL128
JLSSNK1,LFNK2
MNL120,TA41
BC73,BC89
BM126,BM138
EQ6,WVG14
CN10,MNL36
YA102,CN92
KJLPE63,CR99
CAS20,MN57
ML221,AX71
MO49,EF68
BP37,VW47
BM167,MNL55
DM1,BM200
PPR5,LAP2
TA73,ABPE63
MNL22,BM264
PK180,PR88
ADP68,NM300
HL132,DVF40
HA284,MNL42
HA244,RT168
SH137,DVF48
DSQ12,EJPE7
EF88,EJ44
DTP6,BC78
WVG8,HA261
RM46,SH194
AX92,AMU81
VD17,DL43
CO3,DSQ3
RZ19,HP85
NC45,HL157
KS77,NM257
EJ15,TLR9
TH50,KP7
AIHNB8,RBMKHNB25
BM218,BM350
NRAHNB4,RBMKHNB56
PK59,TT180
CA27,LSS11
SW165,MN132
SWNK12,LFNK79
CN1,BM166
LP89,YK43
NM271,MN131
SW309,YB43
HA155,MNL6
MNL56,SW115
BM226,YA91
MB13,SH116
MNY10,TT145
JG29,EJ26
SLR5,TB204
BL47,TB170
BM190,AP27
MNL17,HA59
NK6,NOIPE2
HL190,NL46
ML114,VE30
LKL1,ELCNK51
JG60,NLS16
HA240,JG66
AX93,AX94
CAS41,MDS3
LKL65,CS56
TH51,WVG31
SWAPE33,BC110
BEC8,NLS51
CAS54,TB190
BM138,BM112
JS99,TJD5
DL88,DL89
TR49,KS30
DTP11,EF129
LP59,BM215
LAP1,SWAPE73
JS23,BM508
CP14,YA65
CN6,BC102
DVF86,DVF48
BM125,TAD5
YB1,HA156
VW41,HA117
BC100,BM277
BM81,BM166
SW78,NM191
HL126,EJ78
EF129,SW156
LZRNG40,ABRNG118
LP53,CD30
SA66,MNL12
JG66,LAP59
NK109,TA27
DVF135,JE18
AVMBRC7,CO43
JG68,DVF142
BM83,NM135
SLN17,KSAHNB106
ELT30,JG38
NM221,KF18
NL31,NL53
EJ20,EF116
SW88,BM311
CLO66,CVN16
ZACHNB9,MNY2
EJHNB13,LRHHNB21
BAMNK9,ODLRNK28
BM456,NM303
SA3,SA43
AP30,SA79
AX5,ML120
BC39,NM253
BM190,BM127
EJ43,HB22
LKL32,SW107
NM258,BM299
BM278,BM179
JS73,BM110
NK15,JS12
SA63,NK63
BM409,JW12
BM311,BM351
MNL167,NK122
LSS17,SWAPE45
BM410,HB29
TT155,JG57
NLS55,TA116
BM143,BM414
EQ6,EQ31
TYB16,KNZ3
MH1,KGI5
DVF45,MN53
CLO66,KSAHNB135
BM168,BM140
CD31,TA108
CE8,DVF104
SA85,KS55
CN47,MNL40
MN59,NM210
AMU79,RAO52
BM179,MNL56
MNL42,BM48
KS102,RL10
RZ52,SB52
HA183,BL53
CP6,LAP2
ML202,MAR1
ML108,CPU3
EQ7,TRT8
BM272,BM275
MGLPE11,MGLPE16
ALC15,WVG23
BM125,BM175
HA181,JS116
ELQ27,YB43
EQ63,TNT28
MNL200,MNL195
FP77,CO41
DVF79,HA313
BM362,BM366
BM524,BM318
DVF51,SAL10
BM364,BM481
RY27,SH160
CR11,SW25
MOHNB4,MN18
LKL44,LSS3
PK99,BM362
CLO63,PPC4
BM75,DM31
ML220,AMU30
KS134,TFL9
CVN44,CUP39
BM350,EF92
HL82,HL104
GJNK31,GJNK71
MH14,YK14
SH78,EF123
ABBRC86,BM126
ELT16,EF130
ASTPE7,KJLPE115
KS51,KS144
SH100,MS39
CT22,RVN23
BM208,EF91
BM162,BM176
JS100,SW164
OC18,RVN5
MSGM21,FP12
YK30,SW336
HL167,HL194
ML108,NK7
TB209,FP73
EF108,TT97
LKL45,HL209
EJ42,BM259
EF31,TT74
KS58,JJ1
NM200,BM162
BM327,CN74
KOM12,TH32
CO62,JW6
VD2,TRT10
RT123,TT112
TT80,PN32
DLM33,DL89
JG73,YA101
AP28,MN128
SW185,CE1
HL140,BC79
RNS3,ELT19
EF95,SW146
NM301,KSAHNB142
MNL173,BM430
BM347,MN59
PRLNK20,SW78
NMK13,EUG7
NM200,LKL35
RJGPE19,KSAPE59
NM143,BM234
MNL199,CN98
BM348,IA27
BC63,TA71
SH207,BM180
NM140,MN123
LKL4,SW330
SH116,LR79
DVF176,TME19
BM143,TA33
TT46,KS81
JS77,LAP44
NM256,SW116
HA119,CP3
BM297,MNL50
MTS4,TT243
RT62,TT80
HA170,JS4
LAP13,SW274
JE1,BL8
SRHNB26,RBMKHNB112
CT18,LAP8
SH228,SH279
BM411,OC76
DTP3,SW130
SW381,NLS76
LKL96,BM508
MNL196,MN107
DVF199,DJ21
BDK4,ASI5
KS126,BSH14
HA138,JS43
EJ108,HL171
DTP10,MNL49
SW115,CED31
CVN11,NM124
LAP42,CS50
MN18,CN14
LKB7,TE66
TA23,AP12
EJ7,JS23
BC97,TB139
JSN18,SW367
NLS15,TNT7
TA53,SW116
BM180,MNL113
ALD20,EQ20
RM20,KOM11
ELK9,AX104
SH80,BM273
BM168,BM94
NRAHNB3,RBMKHNB12
NL32,RVN8
JS32,SW164
STO15,AX5
EJ148,JBR2
BC99,RVN4
NM261,JG30
NM155,MNL4
HB7,BC53
KPL1,DVF198
JE40,LKL83
HA258,NK37
MNL7,RM22
FCHNB2,TMAHNB15
RAO17,JS27
RAO17,BM291
BM162,CN18
SLN18,BM277
CAS27,TA51
CD22,PG33
MN34,JSC5
ADE1,ABBRC71
MNL207,CS58
ADP53,KU21
BM212,BM200
DM55,NM319
TYB28,LP58
DNJPE5,MNL53
BM170,MNL36
MN139,NM122
BC68,BM226
MN127,LAP17
DLM21,MAR25
BM207,NM130
HB23,YB29
EJ111,NM163
NM266,MN117
NLS105,TT283
VW28,PK157
BM139,BC80
EJHPE51,EJPE5
TB119,CV44
CLVHNB24,DVF186
NM258,BM110
SWAPE153,SWAPE145
LAP38,VW39
MNL196,PPR12
EQ64,YB37
EJ35,EJ22
KJLPE28,LFPE14
BL13,JN9
BM499,HTC27
BM162,WDHNB4
CMKBRC27,BM201
SW92,JE7
LMC2,SW101
ACL4,NK64
ACL4,MN44
DSQ10,BP40
KS79,LAP11
EF84,NM199
DLM47,CAE15
ANR33,RT167
EF109,RAO54
SB26,AX9
EF95,SW162
KU3,CN18
PRLNK14,BM102
DVF25,BM318
BM468,PRLPE18
SRHNB4,AHHNB5
SU24,DL25
EJ34,PK79
LVF1,HB6
MNL116,BM313
NCMPE4,KSHNB33
SW78,SH69
AMU43,MN63
BM273,BM289
MNL25,BM437
SAL6,NK22
FP36,MN138
BM313,BM352
TNT13,TNT21
EJ39,YK14
BM358,BSH1
BM347,RBMKHNB89
EF192,CR95
MN14,MN18
BM311,TA109
BM152,VW41
YK16,JOA28
BC48,EF54
AP28,MN111
NM165,SW114
HA304,AID8
RCASG2,JE9
EMAPE24,PH50
SH262,MNL231
VLV2,MN21
ELQ26,BM362
GRL35,KLY5
GV11,MN62
CR12,MNL42
SMDPE2,KDSPE80
TH62,TT164
LZPE31,LFPE37
HA204,NMK3
FK8,TE47
TYBAHNB136,LRHHNB30
MNL64,TK41
RZ79,DL121
BM173,NM143
SW133,BM419
SA72,MNL36
JG71,MAR11
BM362,AX31
SW349,SW289
EF86,AP8
MAC4,CAS32
YK15,PK172
HA192,TA72
RT74,MTS11
BEC4,LKL43
EJ38,EJ29
NIK13,BDK45
CN6,CT18
TA126,LAP13
SA65,MNL62
TW3,AMU40
EJPE7,ODLRPE101
PPL9,JG90
BM465,TYB46
AP28,BM365
KSNK60,JPNK17
MNL95,MNL194
PH21,HA99
GWBPE9,ABPE111
BL35,JS98
STS51,BM347
NLS75,UNW1
BC45,BM250
BAMPE10,LFPE96
CS54,NC72
GA30,BDK71
BM364,PPR12
DM45,CN86
BM48,SLN13
SA42,CN6
VW22,BM209
JG60,CR21
HM48,CVN55
EJ187,TJ2
SB55,OC105
BM462,MNL178
SLN11,MNL53
CAE34,AMU89
NL42,NM145
MN20,HA169
EF86,LAP13
CA26,BL2
BM125,CN20
JE10,LRHNB9
JS32,JS12
TT82,BC60
BM212,MNL48
NLS7,JS23
HA258,AID6
HA258,TBD5
PG42,DLM54
TT44,RAO40
MNL78,TA55
MTS2,MTS3
JOA13,ML144
SBL16,JE66
RT79,EF141
MB12,SW127
JML1,TE39
BM103,MNL30
DLM13,AJY3
TA43,EF91
TA29,MNL123
BL11,CLY2
HL151,HL109
BM364,BM406
KSAHNB138,FP25
SWPE12,KSHNB55
CN47,BM237
EJ52,HL201
MNL98,CN49
CD4,MNL49
JS23,CD36
CUP3,PK156
YK14,BM444
BM106,BM272
MH36,SA75
ML115,MNL10
HA198,DL24
BM125,BM313
DL24,CVN17
BM352,TA29
BC48,NM124
TT205,RM72
BP40,MB8
DVF133,DVF126
CR21,PPR6
VW42,EF102
JS22,MN25
NK65,JS30
YK34,CAS92
SLN22,SMDPE35
IA18,TA41
JG64,KS48
NM266,BM298
KO13,ODLRPE134
PK160,TA75
YB10,AMU83
LSS27,LSS24
NIK23,FP54
BM307,NM163
SW145,TA73
SLR12,BDK46
CAS31,SW166
DVF108,JLSN5
CN27,EJRNG2
DL63,AX60
KPL46,SLR40
MO70,EDBRC13
HA67,NM129
MNL103,BM343
DL150,PNK11
DVF170,KK19
MNL56,TA29
PRLNK27,AVMNK3
JS47,SLN22
JS47,NM268
SH56,DVF53
MNL48,MNL50
CN17,MNL91
TT73,SW127
BM162,BM297
RT128,RT147
EJ86,HA244
HA180,BM351
HA180,DK10
KP57,NLS16
NLS26,TNT13
BC70,TA53
VR9,TA12
EF54,BM179
SW158,TT112
SW241,TNT53
LAP14,BM53
BM404,MNL95
BM353,BM368
CA30,TT82
SW56,BM298
SW276,BM200
DL33,MBG2
VIN11,TB123
ALC34,KP35
HTC11,BM162
ANR34,DL71
MNL119,CT18
AMR22,CAS92
NM258,BM362
DVFAHNB16,MNL165
DVFAHNB16,KM2
DTP11,CR36
KSHNB33,ZACHNB38
RY18,NC7
BM167,NM118
HA140,BM212
BM444,LMC2
TT87,JOA14
TLR14,TT164
EQ30,EQ32
SWAPE100,NK60
DLM23,KSAHNB222
LKL36,TH48
JG67,BM261
MNL3,KSANK21
NK11,SW112
ML201,DVF127
VRB2,TE60
RR65,NM124
MNL105,NK109
NM258,BM377
NCMNK1,AVMNK3
RT93,VLV12
ETKNK10,MJNK65
SA85,SH69
KDSPE53,ABPE58
BM212,BM234
AX12,TA111
DL2,MSGM44
RT84,SCS35
PK29,EJ177
MN50,MN107
EF122,EJHHNB46
MNL7,CN65
TT79,HB9
MRW5,LDT10
HA298,ODLRNK100
MNL12,TA43
MNL12,HA118
BM168,MN57
BM357,YB38
BM165,SW113
PK204,TE63
BM48,BM439
ML149,WM3
RT89,DL22
TH17,SH112
KP55,SUM5
OC82,KP46
BC53,NM211
NM172,BM140
CR35,JS22
MN108,TA27
MNL196,MN60
CN94,MN57
MNL4,NK25
GJNK14,GJNK24
EJ108,CAS25
BM347,PR66
SU19,AX11
HA192,MNL133
SH159,BM444
VD7,MOP21
JS24,LAP2
TA64,AX45
HB3,AMU7
RT62,MSGM27
LAP42,MOP6
SAB3,JS131
YB42,AP27
ZDV7,DL99
ZDV7,JE40
BM280,SW131
YA57,TR35
LKL28,EJ14
SW23,PK153
BM466,KU42
BC63,OC18
MNL215,BM474
LMC11,BM168
KM5,LAP44
SH91,CN61
KSBRC14,SH95
RAO17,BM149
DL10,EJ31
BC35,DNJPE21
BM102,BM98
BM350,BM41
SH223,KP20
RZ4,EJ48
ABPE35,ODLRPE144
SW152,KS30
GRL17,KSAHNB223
MNL98,ELQ11
SW301,CMO22
ADP63,CN89
FP13,DVF64
MGN5,CAS23
JPPE2,ODLRPE117
KF30,NLS64
RJGPE36,ABPE106
BM406,BM422
SW116,BM409
CN54,HA113
TA29,JS118
BM233,ZACHNB14
RZ33,EJ88
PK96,MBG4
PK108,CLO63
BM263,BM365
TRU2,BKHNB16
CR43,KDSBRC79
MNL121,TA68
SW138,SW117
CN57,MNL193
BM212,NC32
BM286,PPR12
KS102,WVG6
DJ29,KS32
CR9,EJ75
TH92,TB243
JLSSNK5,NTNK27
JS73,BC53
DNJPE40,ABPE128
TB137,CR18
JG42,INT9
JG42,HTC34
LKB2,BM465
TYB19,RKHNB4
BM27,MNL42
SWPE42,KSAPE94
HB12,PK38
OC91,CLVHNB29
LMC3,JSC12
CLO30,MNL42
RAO13,BM226
NM169,BM98
NK22,MNL48
BC92,BM41
BC106,TT85
BH52,LSS10
TA53,BM293
TA117,TBD4
YK16,MH11
JG43,RZ7
HA272,EJ154
TT90,TT159
JE69,ALC43
SW88,JG34
EJ183,TYBAPE137
KS82,PK161
JG19,LAP13
EJ86,LKL48
SW80,AP24
BC92,BM446
ANHPE23,EDPE52
SW275,DVF162
VW41,BM263
NLS65,RM73
KP57,CO62
SW83,WVG8
CN20,BM180
HL171,HL208
DVF146,JWG23
JWG36,RT163
SWAPE74,MJPE45
BM403,CN1
ML251,MIH12
SW302,SA97
CO47,JS25
EF47,EF92
KS72,CN98
KM4,BM472
EJ34,EF68
EJ120,ML100
BM250,LFNK36
ODLRNK35,BDMNK1
FP36,SH160
EJ26,NM176
TR36,MNL75
RT118,SLN20
LKL48,LAP12
SWPE25,PRLPE5
NM319,JG77
CR103,GV9
MNL188,MNL103
NK60,RM14
BM202,SWANK108
SW166,TB162
SW10,BM209
CN75,BM515
HA255,NM258
JLSSNK7,KJLNK84
NM270,MNL217
NK7,DLM10
CD17,BM267
BM371,BM239
MNL51,BU12
SW282,OMR10
RKHNB1,ZACHNB7
BRA11,WVG40
BM280,SH167
DL78,RM99
TYB28,DVF191
BL50,AMU34
HL170,ABR4
MLAHNB7,LFBRC91
HL101,HL149
BL79,HA309
SH129,NM266
PRLNK2,ABNK59
TA30,BM343
STS48,MSGM64
ADP74,ADP67
EJ59,HA176
CR7,EJ37
CP2,CR17
NIK19,EJ87
BM371,DVF117
TYB50,SH160
DVF206,DVF203
ADP67,BM351
AP33,BM316
BM263,BM110
SW112,CR22
RM57,DVF206
SW381,FZ10
SW381,HB38
EJPE4,EJRNG1
KS102,SW424
BBC3,JE70
HL132,NC31
JG65,LKL41
HA271,NM267
KS162,PK263
JG19,JG21
CN57,NK6
BM413,LAP7
TT72,YK44
JS32,CAS32
AP20,NK106
MN9,ZS7
CA27,TT82
BM410,HL168
ADP32,ADP46
MNL48,NK22
DLM43,CST11
SU33,KP43
BM157,NM143
HL171,ABR6
HA130,EJ111
LKL33,ASI10
JS34,NM295
PRLPE25,KSAPE27
JS22,LRHHNB5
MO61,NC74
EJ64,NLS68
SRHNB4,WDHNB6
TT68,EF210
KSAHNB165,CLO60
TA113,SW325
HA174,HA298
BM444,PH50
TT165,SW434
TT80,NK2
EF106,HP89
TME2,DRW6
JOA22,LVF9
CED40,JWG8
ELQ26,ELQ44
MNL20,ADP12
MN69,ADP32
SLN18,RED39
BM249,MNL53
NM185,EJ117
KP27,MN132
NM284,CO46
JS92,BM125
BM240,SW315
MN23,MN21
TE57,ADE6
CVN50,KSAHNB146
SA55,EJBRC1
FP16,BM208
KDSPE36,LSPE21
ETKPE2,HHAHNB4
YB43,ADP49
FP34,TRT4
VD6,UF5
BM298,BM127
HA195,BM369
TA29,LAP13
BM444,BM289
FRLHNB12,TYBAHNB62
OC33,GC3
JS15,MSGM35
HA251,VLV10
TT210,RBMKHNB76
MNL43,RZ61
CP12,MN50
AP30,PK218
KU5,BM172
NM141,ML109
HA117,NM197
BM409,BM399
RM4,NL51
RM4,CR16
KS34,MNL69
HL132,HL156
BM342,TA58
MAR25,TT145
SHL2,BDK46
JG54,NM129
TYB66,TNT11
NM175,OS7
EJ34,BDK4
SBAHNB11,ASR19
JWG20,BM362
YB20,RT104
DVF130,BM400
JS29,BM328
KS94,BL59
DL117,ZACHNB72
TYB77,JS130
LSS16,JG43
NM319,JWG21
HA181,BM369
MOP8,VLS6
KS133,FP54
YA96,LR71
DLM40,CT26
EJ26,EJ77
TRU3,SH253
TE36,NM180
BC45,NM184
LFBRC4,SW84
BC94,BM162
ML134,LRHHNB24
PK26,HB4
DTP8,BM344
BM240,MN61
SW116,HL209
JG62,TT116
BM180,BM273
BM451,MN59
JS24,BC76
BM101,BM343
AP12,NK64
BM343,MNL41
EJ62,AP22
SW14,BM249
KPL7,NTNK17
KPL7,RT75
MN35,PPC16
LSS15,HA203
SWAPE75,KSAPE162
BM102,MN18
LP78,TYB46
NLS21,YA99
ELT1,RAG3
LRHHNB18,EJHHNB65
NM171,NM126
SW185,KS76
JG62,HL164
JS134,EJ59
JS73,BM292
BC70,BC108
VIN15,FK15
SH119,SH113
KS43,DVF80
CY4,SA61
SBAHNB10,LBHNB3
MNY2,DRD6
HM58,ELT12
DV6,SW10
MNL14,MNL116
CR14,SA80
BL58,SW185
CAS18,NK55
EF92,EF39
HA300,MN131
HA300,KZ3
PPL13,KS127
HL81,HL153
JS24,TA32
SH242,PK215
RAO12,SW275
RAO12,MNL64
JG36,KF7
CD4,RA23
LKL73,SAS6
CN19,BM212
BM218,IA10
TNT13,KS39
AID2,LSS27
SW376,SH242
AJY3,SA130
AJY3,THF7
JPPE27,MJPE68
BM410,BM378
CV51,EQ54
CN76,BM179
KSNK12,KDSNK15
BM254,PPR5
DL69,SH204
CA23,MNL53
BM102,BM261
SH116,CLO23
BM377,MN107
GA3,HA161
LAP14,NC86
PLL7,PBO3
BM230,BM336
HA151,MNL65
EJ20,HL171
HA255,YK20
RT116,SB32
VIN48,EQ55
ML119,CVN9
MNL2,BM196
BL53,BM125
LSS3,LAP8
DVF64,EJ83
SAL42,KS88
BM364,BM279
KP26,RM17
HB12,TK27
KP19,NLS32
EJ26,EJ7
MNL48,BM254
BC110,EF94
BM180,SA66
LRHHNB18,EM7
BM364,HL172
NLS91,PPC19
CP3,BM180
JS73,CVN25
TT73,SW157
MNL31,JSN2
MN9,AP8
TRU3,MNL127
JS96,NM143
TA117,LAP51
MNL167,KM3
TA30,BM125
CN21,BM307
MNL202,CVN11
MAR6,NK65
JSN18,KSAPE98
BC45,BM173
MN19,NK28
NK60,DVF62
LAP11,LAP37
DM16,BM140
CP6,SH223
MNL121,LAP12
ADE14,DL83
DTP25,KP28
JS75,HL209
JS75,MN38
ML110,SAL13
HA321,EQ45
MNL167,MAH5
AF22,BM261
VD13,LDT3
SH265,BM521
TMO2,CAE30
KSAHNB72,MN121
JS14,NM184
ADP32,ADP6
JW34,DVF123
HB48,TJD5
EF47,BM302
ZP5,TT197
SA124,MAR28
HA240,LSS17
EJ39,HL144
SH99,MN19
SWNK12,SWANK20
CLO63,ET30
